fecha,hora,nombre_producto
13-04-2025,13:16,Papa Cepillada Granel Por Kg
13-04-2025,13:16,Dulce De Leche La Serenisima Clasico 400g
13-04-2025,13:16,Arroz Grano Largo Fino Dos Hermanos 1 Kg
13-04-2025,13:16,Harina 000 Vit X 1 Kg Favorita
13-04-2025,13:16,Batata  Por Kg
13-04-2025,13:16,Azucar Ledesma X 1kg
13-04-2025,13:16,Galletitas De Agua Criollitas Originales 300 Gr
13-04-2025,13:16,Galletitas Surtido Bagley 400 Gr
13-04-2025,13:16,Manzana Roja Por Kg
13-04-2025,13:16,Cebolla Superior Por Kg
13-04-2025,13:16,Salame Milán Campo Austral Feteado X 150 Gr
13-04-2025,13:16,Leche Entera La Serenísima 3sachet 1lt
13-04-2025,13:16,Huevos Color 6 Un Maxima Mp
13-04-2025,13:16,Manteca La Serenisima 100 Gr
13-04-2025,13:16,Queso Crema Casancrem Clásico 290 Gr
13-04-2025,13:16,Pollo Fresco Con Menudos
13-04-2025,13:16,Yogur Bebible Entero La Serenísima Vainilla 900 Gr
13-04-2025,13:16,Aceite De Girasol Natura 1.5 L
13-04-2025,13:16,Sal Fina Celusal 500 Gr
13-04-2025,13:16,Gaseosa Coca-cola Sabor Original 2.25 L
13-04-2025,13:16,Cerveza Quilmes Stout 1lt
13-04-2025,13:16,Café Molido Cabrales 250 Gr
13-04-2025,13:16,Yerba Mate Sin Tacc Chamigo 1 Kg
13-04-2025,13:16,Vinagre De Vino Cuisine And Co 500 Ml
13-04-2025,13:16,Aderezo Mayonesa Natura 237 Gr
fecha,hora,nombre_producto,Precio,URL
13-04-2025,13:25,Azucar Ledesma X 1kg,No dosponible,https://www.disco.com.ar/azucar-ledesma-x-1kg/p
13-04-2025,13:25,Arroz Grano Largo Fino Dos Hermanos 1 Kg,No dosponible,https://www.disco.com.ar/arroz-grano-largo-fino-dos-hermanos-1-kg/p
13-04-2025,13:25,Cebolla Superior Por Kg,No dosponible,https://www.disco.com.ar/cebolla-superior-por-kg/p
13-04-2025,13:25,Manzana Roja Por Kg,No dosponible,https://www.disco.com.ar/manzana-roja-por-kg-2/p
13-04-2025,13:25,Pollo Fresco Con Menudos,No dosponible,https://www.disco.com.ar/pollo-fresco-con-menudos-2/p
13-04-2025,13:25,Galletitas Surtido Bagley 400 Gr,No dosponible,https://www.disco.com.ar/galletitas-surtido-bagley-400-gr-2/p
13-04-2025,13:25,Harina 000 Vit X 1 Kg Favorita,No dosponible,https://www.disco.com.ar/harina-000-vit-x-1-kg-favorita/p
13-04-2025,13:25,Galletitas De Agua Criollitas Originales 300 Gr,No dosponible,https://www.disco.com.ar/galletitas-de-agua-criollitas-originales-300-gr/p
13-04-2025,13:25,Batata  Por Kg,No dosponible,https://www.disco.com.ar/batata-por-kg/p
13-04-2025,13:25,Salame Milán Campo Austral Feteado X 150 Gr,No dosponible,https://www.disco.com.ar/salame-milan-campo-austral-feteado-x-150-gr/p
13-04-2025,13:25,Dulce De Leche La Serenisima Clasico 400g,No dosponible,https://www.disco.com.ar/dulce-de-leche-la-serenisima-clasico-400g-2/p
13-04-2025,13:25,Huevos Color 6 Un Maxima Mp,No dosponible,https://www.disco.com.ar/huevos-color-6-un-maxima-mp-2/p
13-04-2025,13:25,Leche Entera La Serenísima 3sachet 1lt,No dosponible,https://www.disco.com.ar/leche-entera-la-serenisima-3sachet-1lt/p
13-04-2025,13:25,Queso Crema Casancrem Clásico 290 Gr,No dosponible,https://www.disco.com.ar/queso-crema-casancrem-clasico-290-gr/p
13-04-2025,13:25,Yogur Bebible Entero La Serenísima Vainilla 900 Gr,No dosponible,https://www.disco.com.ar/yogur-bebible-entero-la-serenisima-vainilla-900-gr/p
13-04-2025,13:25,Manteca La Serenisima 100 Gr,No dosponible,https://www.disco.com.ar/manteca-la-serenisima-100-gr/p
13-04-2025,13:25,Aceite De Girasol Natura 1.5 L,No dosponible,https://www.disco.com.ar/aceite-de-girasol-natura-1-5-l/p
13-04-2025,13:25,Papa Cepillada Granel Por Kg,No dosponible,https://www.disco.com.ar/papa-cepillada-granel-por-kg/p
13-04-2025,13:25,Cerveza Quilmes Stout 1lt,No dosponible,https://www.disco.com.ar/cerveza-quilmes-stout-1lt/p
13-04-2025,13:25,Vinagre De Vino Cuisine And Co 500 Ml,No dosponible,https://www.disco.com.ar/vinagre-de-vino-cuisine-and-co-500-ml/p
13-04-2025,13:25,Sal Fina Celusal 500 Gr,No dosponible,https://www.disco.com.ar/sal-fina-celusal-500-gr/p
13-04-2025,13:25,Gaseosa Coca-cola Sabor Original 2.25 L,No dosponible,https://www.disco.com.ar/gaseosa-coca-cola-sabor-original-2-25-l/p
13-04-2025,13:25,Café Molido Cabrales 250 Gr,No dosponible,https://www.disco.com.ar/cafe-molido-cabrales-250-gr/p
13-04-2025,13:25,Aderezo Mayonesa Natura 237 Gr,No dosponible,https://www.disco.com.ar/aderezo-mayonesa-natura-237-gr/p
13-04-2025,13:25,Yerba Mate Sin Tacc Chamigo 1 Kg,No dosponible,https://www.disco.com.ar/yerba-mate-sin-tacc-chamigo-1-kg/p
fecha,hora,nombre_producto,Precio,URL
13-04-2025,13:30,Dulce De Leche La Serenisima Clasico 400g,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""3300"">",https://www.disco.com.ar/dulce-de-leche-la-serenisima-clasico-400g-2/p
13-04-2025,13:30,Galletitas Surtido Bagley 400 Gr,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""2117"">",https://www.disco.com.ar/galletitas-surtido-bagley-400-gr-2/p
13-04-2025,13:30,Papa Cepillada Granel Por Kg,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""999"">",https://www.disco.com.ar/papa-cepillada-granel-por-kg/p
13-04-2025,13:30,Cebolla Superior Por Kg,No disponible,https://www.disco.com.ar/cebolla-superior-por-kg/p
13-04-2025,13:30,Manzana Roja Por Kg,No disponible,https://www.disco.com.ar/manzana-roja-por-kg-2/p
13-04-2025,13:30,Pollo Fresco Con Menudos,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""3399"">",https://www.disco.com.ar/pollo-fresco-con-menudos-2/p
13-04-2025,13:30,Salame Milán Campo Austral Feteado X 150 Gr,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""6376"">",https://www.disco.com.ar/salame-milan-campo-austral-feteado-x-150-gr/p
13-04-2025,13:30,Arroz Grano Largo Fino Dos Hermanos 1 Kg,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""2300"">",https://www.disco.com.ar/arroz-grano-largo-fino-dos-hermanos-1-kg/p
13-04-2025,13:30,Harina 000 Vit X 1 Kg Favorita,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""900"">",https://www.disco.com.ar/harina-000-vit-x-1-kg-favorita/p
13-04-2025,13:30,Galletitas De Agua Criollitas Originales 300 Gr,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""1523"">",https://www.disco.com.ar/galletitas-de-agua-criollitas-originales-300-gr/p
13-04-2025,13:30,Batata  Por Kg,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""1099"">",https://www.disco.com.ar/batata-por-kg/p
13-04-2025,13:30,Azucar Ledesma X 1kg,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""1130"">",https://www.disco.com.ar/azucar-ledesma-x-1kg/p
13-04-2025,13:30,Huevos Color 6 Un Maxima Mp,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""2450"">",https://www.disco.com.ar/huevos-color-6-un-maxima-mp-2/p
13-04-2025,13:30,Leche Entera La Serenísima 3sachet 1lt,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""1850"">",https://www.disco.com.ar/leche-entera-la-serenisima-3sachet-1lt/p
13-04-2025,13:30,Queso Crema Casancrem Clásico 290 Gr,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""4750"">",https://www.disco.com.ar/queso-crema-casancrem-clasico-290-gr/p
13-04-2025,13:30,Yogur Bebible Entero La Serenísima Vainilla 900 Gr,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""3450"">",https://www.disco.com.ar/yogur-bebible-entero-la-serenisima-vainilla-900-gr/p
13-04-2025,13:30,Manteca La Serenisima 100 Gr,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""2200"">",https://www.disco.com.ar/manteca-la-serenisima-100-gr/p
13-04-2025,13:30,Aceite De Girasol Natura 1.5 L,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""4213"">",https://www.disco.com.ar/aceite-de-girasol-natura-1-5-l/p
13-04-2025,13:30,Gaseosa Coca-cola Sabor Original 2.25 L,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""4200"">",https://www.disco.com.ar/gaseosa-coca-cola-sabor-original-2-25-l/p
13-04-2025,13:30,Sal Fina Celusal 500 Gr,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""1200"">",https://www.disco.com.ar/sal-fina-celusal-500-gr/p
13-04-2025,13:30,Cerveza Quilmes Stout 1lt,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""3300"">",https://www.disco.com.ar/cerveza-quilmes-stout-1lt/p
13-04-2025,13:30,Vinagre De Vino Cuisine And Co 500 Ml,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""1500"">",https://www.disco.com.ar/vinagre-de-vino-cuisine-and-co-500-ml/p
13-04-2025,13:30,Café Molido Cabrales 250 Gr,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""9100"">",https://www.disco.com.ar/cafe-molido-cabrales-250-gr/p
13-04-2025,13:30,Yerba Mate Sin Tacc Chamigo 1 Kg,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""3100"">",https://www.disco.com.ar/yerba-mate-sin-tacc-chamigo-1-kg/p
13-04-2025,13:30,Aderezo Mayonesa Natura 237 Gr,"<meta data-react-helmet=""true"" property=""product:price:amount"" content=""1250"">",https://www.disco.com.ar/aderezo-mayonesa-natura-237-gr/p
fecha,hora,nombre_producto,Precio,URL
13-04-2025,13:34,Galletitas Surtido Bagley 400 Gr,2117,https://www.disco.com.ar/galletitas-surtido-bagley-400-gr-2/p
13-04-2025,13:34,Dulce De Leche La Serenisima Clasico 400g,3300,https://www.disco.com.ar/dulce-de-leche-la-serenisima-clasico-400g-2/p
13-04-2025,13:34,Papa Cepillada Granel Por Kg,999,https://www.disco.com.ar/papa-cepillada-granel-por-kg/p
13-04-2025,13:34,Cebolla Superior Por Kg,No disponible,https://www.disco.com.ar/cebolla-superior-por-kg/p
13-04-2025,13:34,Pollo Fresco Con Menudos,3399,https://www.disco.com.ar/pollo-fresco-con-menudos-2/p
13-04-2025,13:34,Manzana Roja Por Kg,No disponible,https://www.disco.com.ar/manzana-roja-por-kg-2/p
13-04-2025,13:34,Salame Milán Campo Austral Feteado X 150 Gr,6376,https://www.disco.com.ar/salame-milan-campo-austral-feteado-x-150-gr/p
13-04-2025,13:34,Huevos Color 6 Un Maxima Mp,2450,https://www.disco.com.ar/huevos-color-6-un-maxima-mp-2/p
13-04-2025,13:34,Leche Entera La Serenísima 3sachet 1lt,1850,https://www.disco.com.ar/leche-entera-la-serenisima-3sachet-1lt/p
13-04-2025,13:34,Galletitas De Agua Criollitas Originales 300 Gr,1523,https://www.disco.com.ar/galletitas-de-agua-criollitas-originales-300-gr/p
13-04-2025,13:34,Harina 000 Vit X 1 Kg Favorita,900,https://www.disco.com.ar/harina-000-vit-x-1-kg-favorita/p
13-04-2025,13:34,Batata  Por Kg,1099,https://www.disco.com.ar/batata-por-kg/p
13-04-2025,13:34,Azucar Ledesma X 1kg,1130,https://www.disco.com.ar/azucar-ledesma-x-1kg/p
13-04-2025,13:34,Arroz Grano Largo Fino Dos Hermanos 1 Kg,2300,https://www.disco.com.ar/arroz-grano-largo-fino-dos-hermanos-1-kg/p
13-04-2025,13:34,Queso Crema Casancrem Clásico 290 Gr,4750,https://www.disco.com.ar/queso-crema-casancrem-clasico-290-gr/p
13-04-2025,13:34,Yogur Bebible Entero La Serenísima Vainilla 900 Gr,3450,https://www.disco.com.ar/yogur-bebible-entero-la-serenisima-vainilla-900-gr/p
13-04-2025,13:34,Manteca La Serenisima 100 Gr,2200,https://www.disco.com.ar/manteca-la-serenisima-100-gr/p
13-04-2025,13:34,Aceite De Girasol Natura 1.5 L,4213,https://www.disco.com.ar/aceite-de-girasol-natura-1-5-l/p
13-04-2025,13:34,Cerveza Quilmes Stout 1lt,3300,https://www.disco.com.ar/cerveza-quilmes-stout-1lt/p
13-04-2025,13:34,Sal Fina Celusal 500 Gr,1200,https://www.disco.com.ar/sal-fina-celusal-500-gr/p
13-04-2025,13:34,Vinagre De Vino Cuisine And Co 500 Ml,1500,https://www.disco.com.ar/vinagre-de-vino-cuisine-and-co-500-ml/p
13-04-2025,13:34,Café Molido Cabrales 250 Gr,9100,https://www.disco.com.ar/cafe-molido-cabrales-250-gr/p
13-04-2025,13:34,Yerba Mate Sin Tacc Chamigo 1 Kg,3100,https://www.disco.com.ar/yerba-mate-sin-tacc-chamigo-1-kg/p
13-04-2025,13:34,Gaseosa Coca-cola Sabor Original 2.25 L,4200,https://www.disco.com.ar/gaseosa-coca-cola-sabor-original-2-25-l/p
13-04-2025,13:34,Aderezo Mayonesa Natura 237 Gr,1250,https://www.disco.com.ar/aderezo-mayonesa-natura-237-gr/p
fecha,hora,Nombre Producto,Precio,URL
13-04-2025,13:38,Dulce De Leche La Serenisima Clasico 400g,3300,https://www.disco.com.ar/dulce-de-leche-la-serenisima-clasico-400g-2/p
13-04-2025,13:38,Batata  Por Kg,1099,https://www.disco.com.ar/batata-por-kg/p
13-04-2025,13:38,Cebolla Superior Por Kg,No disponible,https://www.disco.com.ar/cebolla-superior-por-kg/p
13-04-2025,13:38,Manzana Roja Por Kg,No disponible,https://www.disco.com.ar/manzana-roja-por-kg-2/p
13-04-2025,13:38,Galletitas De Agua Criollitas Originales 300 Gr,1523,https://www.disco.com.ar/galletitas-de-agua-criollitas-originales-300-gr/p
13-04-2025,13:38,Azucar Ledesma X 1kg,1130,https://www.disco.com.ar/azucar-ledesma-x-1kg/p
13-04-2025,13:38,Pollo Fresco Con Menudos,3399,https://www.disco.com.ar/pollo-fresco-con-menudos-2/p
13-04-2025,13:38,Salame Milán Campo Austral Feteado X 150 Gr,6376,https://www.disco.com.ar/salame-milan-campo-austral-feteado-x-150-gr/p
13-04-2025,13:38,Huevos Color 6 Un Maxima Mp,2450,https://www.disco.com.ar/huevos-color-6-un-maxima-mp-2/p
13-04-2025,13:38,Leche Entera La Serenísima 3sachet 1lt,1850,https://www.disco.com.ar/leche-entera-la-serenisima-3sachet-1lt/p
13-04-2025,13:38,Galletitas Surtido Bagley 400 Gr,2117,https://www.disco.com.ar/galletitas-surtido-bagley-400-gr-2/p
13-04-2025,13:38,Harina 000 Vit X 1 Kg Favorita,900,https://www.disco.com.ar/harina-000-vit-x-1-kg-favorita/p
13-04-2025,13:38,Queso Crema Casancrem Clásico 290 Gr,4750,https://www.disco.com.ar/queso-crema-casancrem-clasico-290-gr/p
13-04-2025,13:38,Papa Cepillada Granel Por Kg,999,https://www.disco.com.ar/papa-cepillada-granel-por-kg/p
13-04-2025,13:38,Yogur Bebible Entero La Serenísima Vainilla 900 Gr,3450,https://www.disco.com.ar/yogur-bebible-entero-la-serenisima-vainilla-900-gr/p
13-04-2025,13:38,Manteca La Serenisima 100 Gr,2200,https://www.disco.com.ar/manteca-la-serenisima-100-gr/p
13-04-2025,13:38,Aceite De Girasol Natura 1.5 L,4213,https://www.disco.com.ar/aceite-de-girasol-natura-1-5-l/p
13-04-2025,13:38,Arroz Grano Largo Fino Dos Hermanos 1 Kg,2300,https://www.disco.com.ar/arroz-grano-largo-fino-dos-hermanos-1-kg/p
13-04-2025,13:38,Sal Fina Celusal 500 Gr,1200,https://www.disco.com.ar/sal-fina-celusal-500-gr/p
13-04-2025,13:38,Gaseosa Coca-cola Sabor Original 2.25 L,4200,https://www.disco.com.ar/gaseosa-coca-cola-sabor-original-2-25-l/p
13-04-2025,13:38,Café Molido Cabrales 250 Gr,9100,https://www.disco.com.ar/cafe-molido-cabrales-250-gr/p
13-04-2025,13:38,Yerba Mate Sin Tacc Chamigo 1 Kg,3100,https://www.disco.com.ar/yerba-mate-sin-tacc-chamigo-1-kg/p
13-04-2025,13:38,Aderezo Mayonesa Natura 237 Gr,1250,https://www.disco.com.ar/aderezo-mayonesa-natura-237-gr/p
13-04-2025,13:38,Vinagre De Vino Cuisine And Co 500 Ml,1500,https://www.disco.com.ar/vinagre-de-vino-cuisine-and-co-500-ml/p
13-04-2025,13:38,Cerveza Quilmes Stout 1lt,3300,https://www.disco.com.ar/cerveza-quilmes-stout-1lt/p
