fecha;hora;Nombre Producto;Precio
16/10/2023;19:44;FIDEOS TALLARINES N7 MATARAZZO X 500 Gr;467
16/10/2023;19:44;PAN FRANCÉS X 500 G;419
16/10/2023;19:44;BATATA X 500 G;449
16/10/2023;19:44;GALLETAS PROVIDENCIA CRACKERS X 303 G.;349
16/10/2023;19:44;Galletas Terrabusi Variedad Dorada x 300 Gr;624
16/10/2023;19:44;HARINA 000 MORIXE X 1KG;179
16/10/2023;19:44;ARROZ PARBOIL TAEQ 240GR;400
16/10/2023;19:44;PAPA CEPILLADA x 1 kg;699
16/10/2023;19:44;Azucar Azucel 1 Kilo;1.025
16/10/2023;19:44;Mermelada Dulcor Durazno Frasco 454 Gr;699
16/10/2023;19:44;Arvejas Montenevi x 340 Gr;234
16/10/2023;19:44;Acelga Congelada Green Life 500 G;572
16/10/2023;19:44;LENTEJAS TAEQ 200GR;464
16/10/2023;19:44;CEBOLLA x 500 g;224
16/10/2023;19:44;TOMATE PERITA X 500G;749
16/10/2023;19:44;CALABACIN (ANQUITO) X 700G;244
16/10/2023;19:44;NARANJA P/JUGO X 1KG;549
16/10/2023;19:44;MANDARINA X 1KG;549
16/10/2023;19:44;Huevo Blanco Carnave cartón X 12 Unidades;952
16/10/2023;19:44;BANANA X 1 Kg;799
16/10/2023;19:44;POLLO FRESCO X UN. (APROX. 2,5KG);2.322
16/10/2023;19:44;PULPA DE JAMÓN DE CERDO x 500 g;1.599
16/10/2023;19:44;MILANESA DE BOLA DE LOMO DE NOVILLITO  x 500 g;1.999
16/10/2023;19:44;MANTECA TONADITA X 200 GR;564
16/10/2023;19:44;Leche Entera C/Calcio LA LACTEO Larga Vida 1 L;423
16/10/2023;19:44;ACEITE DE GIRASOL ALSAMAR X 900 ML;985
16/10/2023;19:44;YERBA MATE PLAYADITO SUAVE 1K.;1.992
16/10/2023;19:44;CERVEZA RUBIA BRAHMA CHOPP LATA 6 X 473ML;4.230
16/10/2023;19:44;CAFE BONAFIDE INTENSO   X500GR;1.660
16/10/2023;19:44;MAYONESA HELLMANNS CLASICA X 475 Gr;568
16/10/2023;19:44;Sal Fina Dos Anclas 250 Gr;543
